PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
1,1.7,0.95,1.81,1.62,1.69,3.16,1.84,1.09,1.67,TlCdCl3
1,1.88,0.95,1.33,0.79,1.69,3.98,2.02,1.09,1.19,CsCdF3
1,1.64,0.95,1.33,0.82,1.69,3.98,1.78,1.09,1.19,KCdF3
0,1.39,0.95,1.33,0.93,1.69,3.98,1.53,1.09,1.19,NaCdF3
1,1.72,0.95,1.33,0.82,1.69,3.98,1.86,1.09,1.19,RbCdF3
1,1.7,0.95,1.33,1.62,1.69,3.98,1.84,1.09,1.19,TlCdF3
1,1.31,0.53,1.4,1.69,2.01,3.44,1.45,0.67,1.26,CdGeO3
0,1.64,0.95,2.2,0.82,1.69,2.66,1.78,1.09,2.06,KCdI3
0,1.39,0.95,2.2,0.93,1.69,2.66,1.53,1.09,2.06,NaCdI3
0,1.7,0.95,2.2,1.62,1.69,2.66,1.84,1.09,2.06,TlCdI3
0,1.31,0.78,1.4,1.69,2.33,3.44,1.45,0.92,1.26,CdPbO3
0,1.31,0.37,1.4,1.69,2.58,3.44,1.45,0.51,1.26,CdSO3
0,1.31,0.5,1.4,1.69,2.55,3.44,1.45,0.64,1.26,CdSeO3
0,0.97,0.95,1.4,2.1,1.69,3.44,1.11,1.09,1.26,TeCdO3
1,1.14,0.8,1.4,1.12,1.66,3.44,1.28,0.94,1.26,CeCrO3
1,1.14,0.78,1.4,1.12,1.83,3.44,1.28,0.92,1.26,CeFeO3
1,1.34,0.86,1.4,1.12,1.27,3.44,1.48,1,1.26,CeLuO3
1,1.44,0.87,1.4,0.95,1.12,3.44,1.58,1.01,1.26,SrCeO3
1,1.14,0.79,1.4,1.12,1.63,3.44,1.28,0.93,1.26,CeVO3
0,1.64,0.12,1.4,0.82,3.16,3.44,1.78,0.26,1.26,KClO3
0,1.72,0.12,1.4,0.82,3.16,3.44,1.86,0.26,1.26,RbClO3
0,1.72,0.74,1.81,0.82,1.88,3.16,1.86,0.88,1.67,RbCoCl3
0,1.88,0.8,1.81,0.79,1.66,3.16,2.02,0.94,1.67,CsCrCl3
0,0.8,0.76,1.81,1.66,0.98,3.16,0.94,0.9,1.67,CrLiCl3
0,1.39,0.8,1.81,0.93,1.66,3.16,1.53,0.94,1.67,NaCrCl3
1,1.72,0.8,1.81,0.82,1.66,3.16,1.86,0.94,1.67,RbCrCl3
1,1.88,1.17,1.81,0.79,1.2,3.16,2.02,1.31,1.67,CsEuCl3
0,1.88,0.78,1.81,0.79,1.83,3.16,2.02,0.92,1.67,CsFeCl3
0,1.88,0.73,1.81,0.79,2.01,3.16,2.02,0.87,1.67,CsGeCl3
1,1.88,1.02,1.81,0.79,2,3.16,2.02,1.16,1.67,CsHgCl3
1,1.88,0.83,1.81,0.79,1.55,3.16,2.02,0.97,1.67,CsMnCl3
0,1.88,0.69,1.81,0.79,1.91,3.16,2.02,0.83,1.67,CsNiCl3
1,1.88,1.15,1.81,0.79,1.96,3.16,2.02,0.95,1.67,CsSnCl3
1,1.88,1.18,1.81,0.79,0.95,3.16,2.02,1.32,1.67,CsSrCl3
0,1.88,0.79,1.81,0.79,1.63,3.16,2.02,0.93,1.67,CsVCl3
0,1.72,1.17,1.81,0.82,1.2,3.16,1.86,1.31,1.67,RbEuCl3
1,1.64,0.78,1.81,0.82,1.83,3.16,1.78,0.92,1.67,KFeCl3
