PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
0,1.025,0.665,1.84,1.38,2.28,2.58,1.165,0.805,1.7,URhS3
0,0.94,0.615,1.84,1.3,1.66,2.58,1.08,0.755,1.7,ThCrS3
0,1.025,0.64,1.98,1.38,1.63,2.55,1.165,0.78,1.84,UVSe3
0,1.025,0.76,1.98,1.38,2.2,2.55,1.165,0.9,1.84,UPdSe3
0,1.025,0.615,1.98,1.38,1.66,2.55,1.165,0.755,1.84,UCrSe3
0,1.025,0.61,1.98,1.38,1.88,2.55,1.165,0.75,1.84,UCoSe3
0,1.025,0.6,1.98,1.38,1.91,2.55,1.165,0.74,1.84,UNiSe3
0,,,,,,3.44,,,,AlFeO3
0,,,,,,3.44,,,,CdTeO3
0,,,,,,3.44,,,,CeDyO3
0,,,,,,3.44,,,,CeErO3
0,,,,,,3.44,,,,CeHoO3
0,,,,,,3.44,,,,CoGeO3
0,,,,,,3.44,,,,CoTeO3
0,,,,,,3.44,,,,CuTeO3
0,,,,,,3.44,,,,GaFeO3
0,,,,,,3.44,,,,GaInO3
0,,,,,,3.44,,,,LaDyO3
0,,,,,,3.44,,,,LiIO3
0,,,,,,3.44,,,,MnGeO3
0,,,,,,3.44,,,,MnSnO3
0,,,,,,3.44,,,,MnTiO3
0,,,,,,3.44,,,,NdDyO3
0,,,,,,3.44,,,,NdLuO3
0,,,,,,3.44,,,,NdYbO3
0,,,,,,3.44,,,,PrDyO3
0,,,,,,3.44,,,,PrErO3
0,,,,,,3.44,,,,PrHoO3
0,,,,,,3.44,,,,PrTmO3
0,,,,,,3.44,,,,SrThO3
0,,,,,,3.44,,,,TlLaO3
0,,,,,,3.44,,,,TmYO3
0,,,,,,3.44,,,,YbYO3
0,,,,,,3.44,,,,ZnTeO3
1,,,,,,3.44,,,,BaPrO3
1,,,,,,3.44,,,,BaTbO3
1,,,,,,3.44,,,,CeMnO3
1,,,,,,3.44,,,,DyInO3
1,,,,,,3.44,,,,EuInO3
1,,,,,,3.44,,,,GdInO3
1,,,,,,3.44,,,,InCrO3
1,,,,,,3.44,,,,InRhO3
1,,,,,,3.44,,,,LuAlO3
1,,,,,,3.44,,,,PbCeO3
1,,,,,,3.44,,,,PbSnO3
1,,,,,,3.44,,,,PuAlO3
1,,,,,,3.44,,,,PuMnO3
1,,,,,,3.44,,,,SrPrO3
1,,,,,,3.44,,,,SrTbO3
1,,,,,,3.44,,,,TbVO3
1,,,,,,3.44,,,,TlCrO3
1,,,,,,3.44,,,,TlFeO3
1,,,,,,3.44,,,,TmVO3
1,,,,,,3.44,,,,YbGaO3
1,,,,,,3.44,,,,YbVO3
0,,,,,,,,,,LaMnS3
0,,,,,,,,,,LaFeS3
0,,,,,,,,,,LaCoS3
0,,,,,,,,,,LaNiS3
0,,,,,,,,,,LaCrS3
0,,,,,,,,,,LaVaS3
0,,,,,,,,,,NdCrS3
0,,,,,,,,,,NdVaS3
0,,,,,,,,,,GdCrS3
0,,,,,,,,,,GdVaS3
